epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.876,1.58419,1.73826,1.73532,0.25727,0.27747,0.15835,0.05252,2.46051,4.49866,2.85208,0.0672171,0.00033114,0.00033114
2,232.048,1.65748,1.75726,1.80647,0.5696,0.36633,0.41205,0.21719,1.92306,1.95493,2.11453,0.0342091,0.0006565,0.0006565
3,339.442,1.60862,1.74786,1.78146,0.45708,0.35386,0.32645,0.14483,2.12798,2.39606,2.47664,0.00119316,0.00097386,0.00097386
4,444.034,1.61204,1.71436,1.78765,0.57729,0.37334,0.41491,0.2072,1.94197,2.05442,2.10327,0.000964,0.000964,0.000964
5,549.135,1.55738,1.67279,1.74396,0.62844,0.3749,0.43504,0.20844,1.92844,1.82136,2.07305,0.000952,0.000952,0.000952
6,656.488,1.54625,1.62746,1.73338,0.61527,0.43297,0.48306,0.25896,1.79756,1.70231,2.03508,0.00094,0.00094,0.00094
7,764.291,1.49217,1.59099,1.7054,0.6138,0.41894,0.47239,0.27365,1.69028,1.71888,1.89561,0.000928,0.000928,0.000928
8,873.736,1.46758,1.56222,1.68721,0.61559,0.46376,0.51782,0.29456,1.68973,1.60941,1.8713,0.000916,0.000916,0.000916
9,985.098,1.42493,1.51166,1.66031,0.54784,0.45869,0.48468,0.28652,1.64435,1.59342,1.87495,0.000904,0.000904,0.000904
10,1094.3,1.42086,1.50765,1.65021,0.63045,0.44661,0.50969,0.28057,1.68455,1.57776,1.94159,0.000892,0.000892,0.000892
11,1202.98,1.39883,1.46929,1.64256,0.60189,0.41738,0.47545,0.29122,1.56339,1.64076,1.82861,0.00088,0.00088,0.00088
12,1311.41,1.36586,1.42862,1.62442,0.66769,0.47701,0.53891,0.33197,1.51291,1.47881,1.79817,0.000868,0.000868,0.000868
13,1420.24,1.35312,1.41594,1.61697,0.64306,0.48753,0.54076,0.33437,1.52651,1.45813,1.80499,0.000856,0.000856,0.000856
14,1530.01,1.35256,1.4044,1.60248,0.67559,0.45773,0.52789,0.33503,1.51233,1.4804,1.76842,0.000844,0.000844,0.000844
15,1638.65,1.34587,1.38215,1.59493,0.6835,0.4797,0.54837,0.34379,1.48885,1.47796,1.71383,0.000832,0.000832,0.000832
16,1751.11,1.33637,1.37057,1.59406,0.64732,0.47428,0.53195,0.33175,1.53336,1.49767,1.77005,0.00082,0.00082,0.00082
17,1858.62,1.33901,1.38306,1.60215,0.63635,0.48146,0.54727,0.34447,1.48252,1.42573,1.79873,0.000808,0.000808,0.000808
18,1967.43,1.28985,1.3176,1.56516,0.65004,0.48402,0.5443,0.34858,1.45369,1.43951,1.7084,0.000796,0.000796,0.000796
19,2081.96,1.29761,1.3219,1.57079,0.6603,0.48329,0.54896,0.35105,1.45312,1.42184,1.74065,0.000784,0.000784,0.000784
20,2190.68,1.29189,1.3426,1.56833,0.66027,0.50078,0.56215,0.36956,1.41862,1.3721,1.68613,0.000772,0.000772,0.000772
21,2299.96,1.28391,1.30674,1.54696,0.65289,0.4961,0.55756,0.36457,1.39862,1.40871,1.68625,0.00076,0.00076,0.00076
22,2409.08,1.28174,1.28697,1.56388,0.66738,0.50468,0.57195,0.37171,1.43192,1.3788,1.6785,0.000748,0.000748,0.000748
23,2517.76,1.25813,1.2519,1.54073,0.65054,0.51325,0.56946,0.36963,1.42157,1.3831,1.73334,0.000736,0.000736,0.000736
24,2628.13,1.25794,1.26644,1.55191,0.66487,0.51403,0.57566,0.38605,1.38057,1.35675,1.66115,0.000724,0.000724,0.000724
25,2740.79,1.26302,1.27591,1.54868,0.66519,0.50234,0.57413,0.37475,1.39975,1.30874,1.69228,0.000712,0.000712,0.000712
26,2852.42,1.22967,1.22817,1.51515,0.65894,0.5113,0.56374,0.37924,1.38715,1.35555,1.6898,0.0007,0.0007,0.0007
27,2962.95,1.23387,1.22972,1.52277,0.69848,0.52338,0.59165,0.38961,1.37544,1.32543,1.67601,0.000688,0.000688,0.000688
28,3081.29,1.2308,1.22317,1.52531,0.70641,0.5073,0.58736,0.38894,1.37092,1.34452,1.67794,0.000676,0.000676,0.000676
29,3197.5,1.22947,1.22381,1.52315,0.68774,0.52143,0.58924,0.38888,1.3742,1.29059,1.66218,0.000664,0.000664,0.000664
30,3307.97,1.21812,1.20908,1.51291,0.67498,0.56733,0.60986,0.39876,1.37919,1.24502,1.67287,0.000652,0.000652,0.000652
31,3421.47,1.21613,1.20814,1.50908,0.70951,0.53157,0.60624,0.40694,1.34749,1.25977,1.64608,0.00064,0.00064,0.00064
32,3530.08,1.20664,1.17731,1.49626,0.68191,0.53858,0.59859,0.39617,1.37983,1.2837,1.66375,0.000628,0.000628,0.000628
33,3638.47,1.20433,1.161,1.49931,0.65445,0.52552,0.59454,0.39129,1.38484,1.28621,1.65007,0.000616,0.000616,0.000616
34,3750.7,1.20468,1.16206,1.5056,0.70749,0.54754,0.60986,0.41244,1.34859,1.26119,1.63621,0.000604,0.000604,0.000604
35,3862.29,1.18531,1.15525,1.48977,0.70483,0.54532,0.61624,0.41661,1.34507,1.23715,1.63522,0.000592,0.000592,0.000592
36,3973.85,1.16986,1.14218,1.48332,0.73142,0.53313,0.61617,0.41695,1.32266,1.23825,1.6362,0.00058,0.00058,0.00058
37,4080.51,1.17731,1.15186,1.48575,0.71897,0.5673,0.63086,0.42174,1.32035,1.20351,1.61077,0.000568,0.000568,0.000568
38,4193.19,1.15423,1.10092,1.45538,0.69899,0.55651,0.61727,0.42294,1.31224,1.20842,1.6271,0.000556,0.000556,0.000556
39,4307.77,1.15405,1.10321,1.46475,0.7657,0.5417,0.63372,0.42855,1.32373,1.19159,1.62371,0.000544,0.000544,0.000544
40,4422.32,1.15741,1.09506,1.46324,0.70227,0.56508,0.63214,0.42738,1.32224,1.20697,1.62133,0.000532,0.000532,0.000532
41,4534.24,1.17584,1.06709,1.52543,0.73193,0.55027,0.62486,0.42632,1.28803,1.21969,1.6061,0.00052,0.00052,0.00052
42,4646.29,1.1571,1.00915,1.50474,0.72106,0.56011,0.63635,0.43729,1.2874,1.18684,1.5935,0.000508,0.000508,0.000508
43,4755.49,1.13365,0.99895,1.4932,0.74227,0.57911,0.65556,0.43709,1.30893,1.15009,1.6358,0.000496,0.000496,0.000496
44,4868.67,1.11766,0.96315,1.47879,0.72761,0.56859,0.64564,0.44101,1.28266,1.19855,1.60019,0.000484,0.000484,0.000484
45,4980.7,1.12045,0.97326,1.48301,0.73243,0.58807,0.64593,0.44033,1.28209,1.20356,1.59075,0.000472,0.000472,0.000472
46,5093.14,1.09931,0.95127,1.4537,0.76794,0.58163,0.6604,0.45429,1.26336,1.14959,1.58131,0.00046,0.00046,0.00046
47,5206.85,1.09118,0.92567,1.45773,0.77402,0.56863,0.66263,0.46044,1.24971,1.14449,1.56941,0.000448,0.000448,0.000448
48,5320.42,1.08972,0.9342,1.45235,0.78542,0.58223,0.66798,0.46489,1.24908,1.12388,1.56498,0.000436,0.000436,0.000436
49,5436.61,1.07595,0.92018,1.43361,0.75372,0.58919,0.6648,0.45897,1.25882,1.13162,1.55934,0.000424,0.000424,0.000424
50,5553.77,1.05645,0.90613,1.42609,0.72962,0.59208,0.66356,0.45875,1.25906,1.13707,1.56988,0.000412,0.000412,0.000412
